fw,gl,gh,il,iw,sh,pl,pw,sl,sw,ph,freq,s11,gain
1,30,2,3,1,1.4,28,32,30,40,1.2,12.33,-10.80504981,9.70149281
1,30,2,3,1,1.3,28,32,30,40,1.2,12.378,-12.22696847,9.62468001
1,30,2,3,1,1.2,28,32,30,40,1.2,12.432,-14.22068043,9.566208859
1,30,2,3,1,1.1,28,32,30,40,1.2,12.486,-16.95775955,9.54155857
1,30,2,3,1,1,28,32,30,40,1.2,12.54,-21.0665048,9.450443901
1,30,2,3,1,0.9,28,32,30,40,1.2,12.612,-30.34650918,9.367074119
1,30,2,3,1,0.8,28,32,30,40,1.2,12.678,-29.36774216,9.174773286
1,30,2,3,1,0.7,28,32,30,40,1.2,12.732,-17.09662669,9.221417451
1,30,2,3,1,0.6,28,32,30,40,1.2,12.804,-12.96179903,9.198909751
1,30,2,3,1,0.5,28,32,30,40,1.2,12.9,-10.11589875,9.240156233
1,30,2,3,1,0.4,28,32,30,40,1.2,14.322,-12.91381851,8.468758692
1,30,2,3,1,0.3,28,32,30,40,1.2,14.466,-31.70378747,7.637975794
1,30,2,3,1,0.2,28,32,30,40,1.2,14.658,-13.89672525,6.894929696
1,30,2,3,1,0.1,28,32,30,40,1.2,15.702,-13.28033789,5.430659945
1,30,2,3,1,3,28,32,30,40,1.1,13.482,-10.18388062,8.233655083
1,30,2,3,1,2.9,28,32,30,40,1.1,13.494,-10.10708655,8.273919303
1,30,2,3,1,2.8,28,32,30,40,1.1,13.512,-9.935434085,8.486479663
1,30,2,3,1,2.7,28,32,30,40,1.1,13.524,-9.885095969,8.5492014
1,30,2,3,1,2.6,28,32,30,40,1.1,13.542,-9.671041496,8.629678619
1,30,2,3,1,2.5,28,32,30,40,1.1,13.56,-9.504108741,8.686363204
1,30,2,3,1,2.4,28,32,30,40,1.1,13.572,-9.310456814,8.745896069
1,30,2,3,1,2.3,28,32,30,40,1.1,13.59,-9.023973378,8.763793289
1,30,2,3,1,2.2,28,32,30,40,1.1,13.596,-8.884819949,8.781388402
1,30,2,3,1,2.1,28,32,30,40,1.1,13.608,-8.79999405,8.803469363
1,30,2,3,1,2,28,32,30,40,1.1,13.632,-8.429388882,8.756555814
1,30,2,3,1,1.9,28,32,30,40,1.1,13.644,-8.223037644,8.768489264
1,30,2,3,1,1.8,28,32,30,40,1.1,13.668,-7.798572736,8.782754028
1,30,2,3,1,1.7,28,32,30,40,1.1,12.162,-8.380543007,9.593859144
1,30,2,3,1,1.6,28,32,30,40,1.1,12.234,-8.845670206,9.649280633
1,30,2,3,1,1.5,28,32,30,40,1.1,12.276,-9.718374293,9.67523659
1,30,2,3,1,1.4,28,32,30,40,1.1,12.336,-10.77416533,9.680764947
1,30,2,3,1,1.3,28,32,30,40,1.1,12.39,-12.42277303,9.665777571
1,30,2,3,1,1.2,28,32,30,40,1.1,12.444,-14.24040261,9.706052765
1,30,2,3,1,1.1,28,32,30,40,1.1,12.504,-16.76510659,9.636670503
1,30,2,3,1,1,28,32,30,40,1.1,12.552,-20.88792177,9.411639905
1,30,2,3,1,0.9,28,32,30,40,1.1,12.624,-30.21614806,9.354881149
1,30,2,3,1,0.8,28,32,30,40,1.1,12.684,-28.37096791,9.212475584
1,30,2,3,1,0.7,28,32,30,40,1.1,12.738,-17.24100918,9.288701095
1,30,2,3,1,0.6,28,32,30,40,1.1,12.816,-13.11493524,9.347848271
1,30,2,3,1,0.5,28,32,30,40,1.1,12.906,-10.1261219,9.304433743
1,30,2,3,1,0.4,28,32,30,40,1.1,14.334,-13.36819947,8.422155641
1,30,2,3,1,0.3,28,32,30,40,1.1,14.442,-48.11229772,7.096263321
1,30,2,3,1,0.2,28,32,30,40,1.1,14.658,-13.73423141,6.799872673
1,30,2,3,1,0.1,28,32,30,40,1.1,15.738,-12.90679819,5.647538712
1,30,2,3,1,3,28,32,30,40,1,13.482,-9.571657713,8.285559012
1,30,2,3,1,2.9,28,32,30,40,1,13.5,-9.536137436,8.454241058
1,30,2,3,1,2.8,28,32,30,40,1,13.518,-9.514744748,8.588367443
1,30,2,3,1,2.7,28,32,30,40,1,13.524,-9.139718893,8.647145441
1,30,2,3,1,2.6,28,32,30,40,1,13.542,-8.892768969,8.735693385
1,30,2,3,1,2.5,28,32,30,40,1,13.56,-8.688892484,8.759383172
1,30,2,3,1,2.4,28,32,30,40,1,13.578,-8.555940705,8.746821502
1,30,2,3,1,2.3,28,32,30,40,1,13.596,-8.213691466,8.787455934
1,30,2,3,1,2.2,28,32,30,40,1,13.608,-8.160056365,8.740115739
1,30,2,3,1,2.1,28,32,30,40,1,13.62,-8.197434275,8.738416611
1,30,2,3,1,2,28,32,30,40,1,13.638,-7.777305139,8.769472671
1,30,2,3,1,1.9,28,32,30,40,1,13.656,-7.654946925,8.857638084
1,30,2,3,1,1.8,28,32,30,40,1,12.156,-7.351674467,9.591151125
1,30,2,3,1,1.7,28,32,30,40,1,12.18,-8.239539795,9.613032222
1,30,2,3,1,1.6,28,32,30,40,1,12.246,-8.697343723,9.600996731
1,30,2,3,1,1.5,28,32,30,40,1,12.294,-9.57673731,9.779050303
1,30,2,3,1,1.4,28,32,30,40,1,12.348,-10.75523816,9.63681414
1,30,2,3,1,1.3,28,32,30,40,1,12.402,-12.13822587,9.647433313
1,30,2,3,1,1.2,28,32,30,40,1,12.456,-13.937718,9.711201936
1,30,2,3,1,1.1,28,32,30,40,1,12.516,-16.46219699,9.599724385
1,30,2,3,1,1,28,32,30,40,1,12.564,-20.81910838,9.316379177
1,30,2,3,1,0.9,28,32,30,40,1,12.618,-31.88407762,9.284181893
